Airport Acronym,City,State,Time Zone,Hrs. from GMT,Java Zone ID,DST,,
HII,Lake Havasu City,AZ,MST,-7,US/Arizona,NO,,
HIK,Honolulu,HI,,-10,Pacific/Honolulu,NO,,
HKB,Healy Lake,AK,,-9,America/Anchorage,YES,,
HKY,Hickory,NC,EST,-5,America/New_York,YES,,
HLM,Holland,MI,EST,-5,America/New_York,YES,,
HLN,Helena,MT,MST,-7,America/Denver,YES,,
HNH,Hoonah,AK,,-9,America/Anchorage,YES,,
HNL,Honolulu,HI,,-10,Pacific/Honolulu,NO,,
HNM,Hana,HI,,-10,Pacific/Honolulu,NO,,
HNS,Haines,AK,,-9,America/Anchorage,YES,,
HOB,Hobbs,NM,MST,-7,America/Denver,YES,,
HOM,Homer,AK,,-9,America/Anchorage,YES,,
HON,Huron,SD,CST,-6,America/Chicago,YES,,
HOP,Hopkinsville,KY,CST,-6,America/Chicago,YES,,
HOT,Hot Springs,AR,CST,-6,America/Chicago,YES,,
HOU,Houston,TX,CST,-6,America/Chicago,YES,,
HPB,Hooper Bay,AK,,-9,America/Anchorage,YES,,
HPN,Westchester County,NY,EST,-5,America/New_York,YES,,
HRL,Harlingen,TX,CST,-6,America/Chicago,YES,,
HRO,Harrison,AR,CST,-6,America/Chicago,YES,,
HSL,Huslia,AK,,-9,America/Anchorage,YES,,
HSV,Huntsville,AL,CST,-6,America/Chicago,YES,,
HTO,East Hampton,NY,EST,-5,America/New_York,YES,,
HTS,Huntington,WV,EST,-5,America/New_York,YES,,
HUF,Terre Haute,IN,EST,-5,America/New_York,YES,,
HUS,Hughes,AK,,-9,America/Anchorage,YES,,
HVN,New Haven,CT,EST,-5,America/New_York,YES,,
HVR,Havre,MT,MST,-7,America/Denver,YES,,
HYA,Hyannis,MA,EST,-5,America/New_York,YES,,
HYG,Hydaburg,AK,,-9,America/Anchorage,YES,,
HYL,Hollis,AK,,-9,America/Anchorage,YES,,
HYS,Hays,KS,CST,-6,America/Chicago,YES,,
IA1,Shenandoah,IA,CST,-6,America/Chicago,YES,,
IAB,Wichita,KS,CST,-6,America/Chicago,YES,,
IAD,Washington,DC,EST,-5,America/New_York,YES,,
IAG,Niagara Falls,NY,EST,-5,America/New_York,YES,,
IAH,Houston,TX,CST,-6,America/Chicago,YES,,
IAN,Kiana,AK,,-9,America/Anchorage,YES,,
ICT,Wichita,KS,CST,-6,America/Chicago,YES,,
IDA,Idaho Falls,ID,MST,-7,America/Denver,YES,,
IFP,Bullhead City,AZ,MST,-7,US/Arizona,NO,,
IGG,Igiugig,AK,,-9,America/Anchorage,YES,,
IGM,Kingman,AZ,MST,-7,US/Arizona,NO,,
IKO,Nikolski,AK,,-9,America/Anchorage,YES,,
ILG,Wilmington,DE,EST,-5,America/New_York,YES,,
ILI,Iliamna,AK,,-9,America/Anchorage,YES,,
ILM,Wilmington,NC,EST,-5,America/New_York,YES,,
ILN,Wilmington,OH,EST,-5,America/New_York,YES,,
IMT,Iron Mountain,MI,CST,-6,America/Chicago,YES,,
IND,Indianapolis,IN,EST,-5,America/New_York,YES,,
INL,International Falls,MN,CST,-6,America/Chicago,YES,,
INT,Winston-Salem,NC,EST,-5,America/New_York,YES,,
IPL,Imperial,CA,PST,-8,America/Los_Angeles,YES,,
IPT,Williamsport,PA,EST,-5,America/New_York,YES,,
IRC,Circle,AK,,-9,America/Anchorage,YES,,
IRK,Kirksville,MO,CST,-6,America/Chicago,YES,,
ISM,Kissimmee,FL,EST,-5,America/New_York,YES,,
ISN,Williston,ND,CST,-6,America/Chicago,YES,,
ISO,Kinston,NC,EST,-5,America/New_York,YES,,
ISP,Islip,NY,EST,-5,America/New_York,YES,,
ISS,Wiscasset,ME,EST,-5,America/New_York,YES,,
ITH,Ithaca,NY,EST,-5,America/New_York,YES,,
ITO,Hilo,HI,,-10,Pacific/Honolulu,NO,,
IWD,Ironwood,MI,CST,-6,America/Chicago,YES,,
IYK,Inyokern,CA,PST,-8,America/Los_Angeles,YES,,
JAC,Jackson,WY,MST,-7,America/Denver,YES,,
JAN,Jackson,MS,CST,-6,America/Chicago,YES,,
JAX,Jacksonville,FL,EST,-5,America/New_York,YES,,
JBR,Jonesboro,AR,CST,-6,America/Chicago,YES,,
JFK,New York,NY,EST,-5,America/New_York,YES,,
JGC,Grand Canyon,AZ,MST,-7,US/Arizona,NO,,
JHM,Kapalua,HI,,-10,Pacific/Honolulu,NO,,
JHW,Jamestown,NY,EST,-5,America/New_York,YES,,
JLN,Joplin,MO,CST,-6,America/Chicago,YES,,
JMS,Jamestown,ND,CST,-6,America/Chicago,YES,,
JNU,Juneau,AK,,-9,America/Anchorage,YES,,
JQF,Concord,NC,EST,-5,America/New_York,YES,,
JRA,New York,NY,EST,-5,America/New_York,YES,,
JRB,New York,NY,EST,-5,America/New_York,YES,,
JST,Johnstown,PA,EST,-5,America/New_York,YES,,
JVL,Janesville,WI,CST,-6,America/Chicago,YES,,
JZE,Trading Bay,AK,,-9,America/Anchorage,YES,,
JZT,Arlington,TX,CST,-6,America/Chicago,YES,,
KAE,Kake,AK,,-9,America/Anchorage,YES,,
KAL,Kaltag,AK,,-9,America/Anchorage,YES,,
KBC,Birch Creek,AK,,-9,America/Anchorage,YES,,
KCC,Coffman Cove,AK,,-9,America/Anchorage,YES,,
KCG,Chignik,AK,,-9,America/Anchorage,YES,,
KCL,Chignik,AK,,-9,America/Anchorage,YES,,
KCQ,Chignik,AK,,-9,America/Anchorage,YES,,
KEB,English Bay,AK,,-9,America/Anchorage,YES,,
KEK,Ekwok,AK,,-9,America/Anchorage,YES,,
KFP,False Pass,AK,,-9,America/Anchorage,YES,,
KGK,New Koliganek,AK,,-9,America/Anchorage,YES,,
KGX,Grayling,AK,,-9,America/Anchorage,YES,,
KKA,Koyuk,AK,,-9,America/Anchorage,YES,,
KKB,Kitui Bay,AK,,-9,America/Anchorage,YES,,
KKH,Kongiganak,AK,,-9,America/Anchorage,YES,,
KKI,Akiachak,AK,,-9,America/Anchorage,YES,,
KKL,Karluk Lake,AK,,-9,America/Anchorage,YES,,
KLG,Kalskag,AK,,-9,America/Anchorage,YES,,
KLL,Levelock,AK,,-9,America/Anchorage,YES,,
KLN,Larsen Bay,AK,,-9,America/Anchorage,YES,,
